ID,Module,API_Endpoint,Tên_Test_Case,Input_Đầu_vào,Expected_Status,Expected_DB_State,Mức_độ_ưu_tiên
1,Auth,POST /api/v1/auth/register,Đăng ký thành công với thông tin hợp lệ,"email hợp lệ, password mạnh, tên đầy đủ",201 Created,"Tạo mới 1 bản ghi User với trạng thái INACTIVE",High
2,Auth,POST /api/v1/auth/register,Đăng ký thất bại do thiếu email,"bỏ trống trường email",400 Bad Request,"Không thay đổi",High
3,Auth,POST /api/v1/auth/register,Đăng ký thất bại do sai định dạng email,"email=""abc@123""",400 Bad Request,"Không thay đổi",High
4,Auth,POST /api/v1/auth/register,Đăng ký thất bại do mật khẩu quá yếu,"password=""123""",400 Bad Request,"Không thay đổi",Medium
5,Auth,POST /api/v1/auth/register,Đăng ký thất bại do email đã tồn tại,"email của user đã có trong DB",409 Conflict,"Không thay đổi",High
6,Auth,POST /api/v1/auth/register,Đăng ký thất bại do bỏ trống tên,"name=""""",400 Bad Request,"Không thay đổi",Medium
7,Auth,POST /api/v1/auth/register,Kiểm tra gửi email OTP sau khi đăng ký,"email hợp lệ",201 Created,"Tạo mã OTP trong bảng user_otps",High
8,Auth,POST /api/v1/auth/login,Đăng nhập thành công với tài khoản đã kích hoạt,"email đúng, password đúng",200 OK,"Không thay đổi (hoặc update last_login)",High
9,Auth,POST /api/v1/auth/login,Đăng nhập thất bại do sai mật khẩu,"email đúng, password sai",401 Unauthorized,"Không thay đổi",High
10,Auth,POST /api/v1/auth/login,Đăng nhập thất bại do sai email (email chưa đăng ký),"email không có trong DB",401 Unauthorized,"Không thay đổi",High
11,Auth,POST /api/v1/auth/login,Đăng nhập thất bại do tài khoản chưa kích hoạt,"email đúng, password đúng nhưng status=INACTIVE",403 Forbidden,"Không thay đổi",High
12,Auth,POST /api/v1/auth/login,Đăng nhập thất bại do tài khoản bị khóa (Banned),"email đúng, password đúng nhưng status=BANNED",403 Forbidden,"Không thay đổi",High
13,Auth,POST /api/v1/auth/login,Kiểm tra format của Access Token và Refresh Token trả về,"email đúng, password đúng",200 OK,"Không thay đổi",Medium
14,Auth,POST /api/v1/auth/refresh,Lấy token mới thành công bằng Refresh Token hợp lệ,"refresh_token hợp lệ còn hạn",200 OK,"Không thay đổi",High
15,Auth,POST /api/v1/auth/refresh,Lấy token mới thất bại do Refresh Token hết hạn,"refresh_token đã hết hạn",401 Unauthorized,"Không thay đổi",High
16,Auth,POST /api/v1/auth/refresh,Lấy token mới thất bại do Refresh Token sai format,"refresh_token=""abc""",401 Unauthorized,"Không thay đổi",High
17,Auth,POST /api/v1/auth/refresh,Lấy token mới thất bại do thiếu Refresh Token,"bỏ trống trường refresh_token",400 Bad Request,"Không thay đổi",Medium
18,Auth,POST /api/v1/auth/forgot-password,Yêu cầu cấp lại mật khẩu thành công,"email hợp lệ có trong DB",200 OK,"Tạo mã reset OTP/Token vào DB",High
19,Auth,POST /api/v1/auth/forgot-password,Yêu cầu thất bại do email không tồn tại,"email không có trong DB",404 Not Found,"Không thay đổi",Medium
20,Auth,POST /api/v1/auth/forgot-password,Yêu cầu thất bại do thiếu email,"bỏ trống email",400 Bad Request,"Không thay đổi",Medium
21,Auth,POST /api/v1/auth/forgot-password,Yêu cầu thất bại do email sai format,"email=""invalid-email""",400 Bad Request,"Không thay đổi",Medium
22,Auth,POST /api/v1/auth/reset-password,Đặt lại mật khẩu thành công,"mã reset hợp lệ, password mới hợp lệ",200 OK,"Cập nhật password mới đã hash, xóa mã reset",High
23,Auth,POST /api/v1/auth/reset-password,Đặt lại mật khẩu thất bại do mã reset sai,"mã reset không khớp",400 Bad Request,"Không thay đổi",High
24,Auth,POST /api/v1/auth/reset-password,Đặt lại mật khẩu thất bại do mã reset hết hạn,"mã reset đã hết thời gian hiệu lực",400 Bad Request,"Không thay đổi",High
25,Auth,POST /api/v1/auth/reset-password,Đặt lại mật khẩu thất bại do password mới quá yếu,"mã reset đúng, password mới=""123""",400 Bad Request,"Không thay đổi",Medium
